6
2016-12-02 11:00:00+02;203
2016-12-02 11:24:00+02;428
2016-12-02 11:55:00+02;731
2016-12-02 12:13:00+02;1045
2016-12-02 12:17:00+02;1083
2016-12-02 12:23:00+02;1120
2016-12-02 12:37:00+02;1305
2016-12-02 12:47:00+02;1372
2016-12-02 13:04:00+02;1475
2016-12-02 13:16:00+02;1645
2016-12-02 13:24:00+02;1781
2016-12-02 13:41:00+02;2057
2016-12-02 13:55:00+02;2154
2016-12-02 14:09:00+02;2316
2016-12-02 14:31:00+02;2962
2016-12-02 14:39:00+02;3068
2016-12-02 15:50:00+02;2923
2016-12-02 16:04:00+02;2706
2016-12-02 16:16:00+02;2560
2016-12-02 16:23:00+02;2467
